Please enter the maximum memory located to JVM [8g]: 
ORION_P3_V20_CLASS_SURFACE_BOUND=source:37_TO_36:OWL_THING_ONLY
ORION_P3_V20_CLASS_SURFACE_BOUND=target:37_TO_36:OWL_THING_ONLY
Loading a BERT model from: /Volumes/MyDrive/codex_tmp/p3-v17-runtime-20260824/model.
{'loss': 0.4038, 'grad_norm': 6.8510661125183105, 'learning_rate': 4.969834087481147e-05, 'epoch': 0.02}
{'loss': 0.2133, 'grad_norm': 3.169558048248291, 'learning_rate': 4.939668174962293e-05, 'epoch': 0.04}
{'loss': 0.0897, 'grad_norm': 2.1350228786468506, 'learning_rate': 4.9095022624434386e-05, 'epoch': 0.05}
{'loss': 0.0336, 'grad_norm': 0.445727676153183, 'learning_rate': 4.879336349924585e-05, 'epoch': 0.07}
{'loss': 0.0124, 'grad_norm': 0.204940527677536, 'learning_rate': 4.849170437405732e-05, 'epoch': 0.09}
{'loss': 0.0043, 'grad_norm': 0.14693723618984222, 'learning_rate': 4.8190045248868784e-05, 'epoch': 0.11}
{'loss': 0.0023, 'grad_norm': 0.07915179431438446, 'learning_rate': 4.788838612368024e-05, 'epoch': 0.13}
{'loss': 4.5379, 'grad_norm': 0.0656786635518074, 'learning_rate': 4.75867269984917e-05, 'epoch': 0.14}
{'loss': 1.3482, 'grad_norm': 0.1805044263601303, 'learning_rate': 4.728506787330317e-05, 'epoch': 0.16}
{'loss': 0.0113, 'grad_norm': 0.8394899964332581, 'learning_rate': 4.6983408748114634e-05, 'epoch': 0.18}
{'eval_loss': 0.5729662179946899, 'eval_accuracy': 0.88, 'eval_runtime': 1.0969, 'eval_samples_per_second': 22.791, 'eval_steps_per_second': 22.791, 'epoch': 0.18}
{'loss': 0.0064, 'grad_norm': 0.18977303802967072, 'learning_rate': 4.66817496229261e-05, 'epoch': 0.2}
{'loss': 0.0041, 'grad_norm': 0.12171313911676407, 'learning_rate': 4.638009049773756e-05, 'epoch': 0.22}
{'loss': 0.0035, 'grad_norm': 0.09976203739643097, 'learning_rate': 4.607843137254902e-05, 'epoch': 0.24}
{'loss': 1.3999, 'grad_norm': 0.07589524984359741, 'learning_rate': 4.5776772247360484e-05, 'epoch': 0.25}
{'loss': 0.0032, 'grad_norm': 0.08166180551052094, 'learning_rate': 4.547511312217195e-05, 'epoch': 0.27}
{'loss': 0.0026, 'grad_norm': 0.08485132455825806, 'learning_rate': 4.517345399698341e-05, 'epoch': 0.29}
{'loss': 1.5369, 'grad_norm': 0.07035844773054123, 'learning_rate': 4.4871794871794874e-05, 'epoch': 0.31}
{'loss': 1.4497, 'grad_norm': 0.07647538185119629, 'learning_rate': 4.457013574660634e-05, 'epoch': 0.33}
{'loss': 1.4286, 'grad_norm': 0.08830240368843079, 'learning_rate': 4.42684766214178e-05, 'epoch': 0.34}
{'loss': 1.3258, 'grad_norm': 33.40854263305664, 'learning_rate': 4.3966817496229265e-05, 'epoch': 0.36}
{'eval_loss': 0.6571962833404541, 'eval_accuracy': 0.88, 'eval_runtime': 0.7498, 'eval_samples_per_second': 33.342, 'eval_steps_per_second': 33.342, 'epoch': 0.36}
{'loss': 3.8813, 'grad_norm': 0.2549611032009125, 'learning_rate': 4.3665158371040724e-05, 'epoch': 0.38}
{'loss': 0.0169, 'grad_norm': 0.759208083152771, 'learning_rate': 4.336349924585219e-05, 'epoch': 0.4}
{'loss': 0.0121, 'grad_norm': 0.2950739562511444, 'learning_rate': 4.3061840120663656e-05, 'epoch': 0.42}
{'loss': 0.0072, 'grad_norm': 0.19897663593292236, 'learning_rate': 4.2760180995475115e-05, 'epoch': 0.43}
{'loss': 0.0027, 'grad_norm': 0.10586212575435638, 'learning_rate': 4.2458521870286574e-05, 'epoch': 0.45}
{'loss': 0.0024, 'grad_norm': 0.061449434608221054, 'learning_rate': 4.215686274509804e-05, 'epoch': 0.47}
{'loss': 0.0018, 'grad_norm': 0.0424901619553566, 'learning_rate': 4.1855203619909506e-05, 'epoch': 0.49}
{'loss': 1.5948, 'grad_norm': 0.06235148757696152, 'learning_rate': 4.155354449472097e-05, 'epoch': 0.51}
{'loss': 0.0014, 'grad_norm': 0.041742388159036636, 'learning_rate': 4.125188536953243e-05, 'epoch': 0.52}
{'loss': 0.0017, 'grad_norm': 0.04999951645731926, 'learning_rate': 4.095022624434389e-05, 'epoch': 0.54}
{'eval_loss': 0.7802360653877258, 'eval_accuracy': 0.88, 'eval_runtime': 0.6401, 'eval_samples_per_second': 39.058, 'eval_steps_per_second': 39.058, 'epoch': 0.54}
{'loss': 1.7222, 'grad_norm': 35.318634033203125, 'learning_rate': 4.0648567119155356e-05, 'epoch': 0.56}
{'loss': 0.0017, 'grad_norm': 0.05588103085756302, 'learning_rate': 4.034690799396682e-05, 'epoch': 0.58}
{'loss': 1.6691, 'grad_norm': 35.34796142578125, 'learning_rate': 4.004524886877829e-05, 'epoch': 0.6}
{'loss': 0.002, 'grad_norm': 0.041883423924446106, 'learning_rate': 3.974358974358974e-05, 'epoch': 0.62}
{'loss': 0.0022, 'grad_norm': 0.07347342371940613, 'learning_rate': 3.9441930618401206e-05, 'epoch': 0.63}
{'loss': 0.0022, 'grad_norm': 0.07338446378707886, 'learning_rate': 3.914027149321267e-05, 'epoch': 0.65}
{'loss': 1.6511, 'grad_norm': 0.09011609107255936, 'learning_rate': 3.883861236802414e-05, 'epoch': 0.67}
{'loss': 1.5934, 'grad_norm': 0.1244870126247406, 'learning_rate': 3.8536953242835596e-05, 'epoch': 0.69}
{'loss': 2.8695, 'grad_norm': 0.1004926934838295, 'learning_rate': 3.8235294117647055e-05, 'epoch': 0.71}
{'loss': 0.0061, 'grad_norm': 0.22945892810821533, 'learning_rate': 3.793363499245852e-05, 'epoch': 0.72}
{'eval_loss': 0.6182743310928345, 'eval_accuracy': 0.88, 'eval_runtime': 0.6719, 'eval_samples_per_second': 37.208, 'eval_steps_per_second': 37.208, 'epoch': 0.72}
{'loss': 0.0075, 'grad_norm': 0.3131006062030792, 'learning_rate': 3.763197586726999e-05, 'epoch': 0.74}
{'loss': 1.331, 'grad_norm': 0.2944229245185852, 'learning_rate': 3.733031674208145e-05, 'epoch': 0.76}
{'loss': 2.5092, 'grad_norm': 0.2737438380718231, 'learning_rate': 3.702865761689291e-05, 'epoch': 0.78}
{'loss': 1.1259, 'grad_norm': 0.30349335074424744, 'learning_rate': 3.672699849170438e-05, 'epoch': 0.8}
{'loss': 0.0094, 'grad_norm': 0.32269522547721863, 'learning_rate': 3.642533936651584e-05, 'epoch': 0.81}
{'loss': 1.1135, 'grad_norm': 0.42270198464393616, 'learning_rate': 3.61236802413273e-05, 'epoch': 0.83}
{'loss': 1.2254, 'grad_norm': 0.15255106985569, 'learning_rate': 3.582202111613876e-05, 'epoch': 0.85}
{'loss': 0.0075, 'grad_norm': 0.19658821821212769, 'learning_rate': 3.552036199095023e-05, 'epoch': 0.87}
{'loss': 0.0054, 'grad_norm': 0.12645168602466583, 'learning_rate': 3.5218702865761694e-05, 'epoch': 0.89}
{'loss': 1.3129, 'grad_norm': 0.260759174823761, 'learning_rate': 3.491704374057315e-05, 'epoch': 0.9}
{'eval_loss': 0.6508655548095703, 'eval_accuracy': 0.88, 'eval_runtime': 0.6746, 'eval_samples_per_second': 37.057, 'eval_steps_per_second': 37.057, 'epoch': 0.9}
{'loss': 0.0051, 'grad_norm': 0.13771271705627441, 'learning_rate': 3.461538461538462e-05, 'epoch': 0.92}
{'loss': 1.3437, 'grad_norm': 0.11634735763072968, 'learning_rate': 3.431372549019608e-05, 'epoch': 0.94}
{'loss': 1.3652, 'grad_norm': 0.14296118915081024, 'learning_rate': 3.4012066365007544e-05, 'epoch': 0.96}
