Please enter the maximum memory located to JVM [8g]: 
Loading a BERT model from: /Users/billy/Documents/Codex/2026-08-23/can-x20/work/orion-takeover/development/p3-repaired-native-runtime-v9-2026-08-23/runtime/model.
{'loss': 0.7303, 'grad_norm': 14.19914722442627, 'learning_rate': 4.9702380952380955e-05, 'epoch': 0.02}
{'loss': 0.4052, 'grad_norm': 8.010713577270508, 'learning_rate': 4.940476190476191e-05, 'epoch': 0.04}
{'loss': 0.1791, 'grad_norm': 4.259183406829834, 'learning_rate': 4.910714285714286e-05, 'epoch': 0.05}
{'loss': 0.0883, 'grad_norm': 2.748551845550537, 'learning_rate': 4.880952380952381e-05, 'epoch': 0.07}
{'loss': 0.0638, 'grad_norm': 1.4238585233688354, 'learning_rate': 4.8511904761904764e-05, 'epoch': 0.09}
{'loss': 0.0361, 'grad_norm': 1.3261728286743164, 'learning_rate': 4.8214285714285716e-05, 'epoch': 0.11}
{'loss': 2.0809, 'grad_norm': 33.07888412475586, 'learning_rate': 4.791666666666667e-05, 'epoch': 0.12}
{'loss': 0.0234, 'grad_norm': 0.763523280620575, 'learning_rate': 4.761904761904762e-05, 'epoch': 0.14}
{'loss': 0.0124, 'grad_norm': 0.32877907156944275, 'learning_rate': 4.732142857142857e-05, 'epoch': 0.16}
{'loss': 0.0074, 'grad_norm': 0.24936337769031525, 'learning_rate': 4.7023809523809525e-05, 'epoch': 0.18}
{'eval_loss': 0.7789255976676941, 'eval_accuracy': 0.8461538461538461, 'eval_runtime': 0.2598, 'eval_samples_per_second': 50.037, 'eval_steps_per_second': 50.037, 'epoch': 0.18}
{'loss': 2.4797, 'grad_norm': 35.39039611816406, 'learning_rate': 4.672619047619048e-05, 'epoch': 0.2}
{'loss': 0.0046, 'grad_norm': 0.20279692113399506, 'learning_rate': 4.642857142857143e-05, 'epoch': 0.21}
{'loss': 0.0047, 'grad_norm': 0.16815437376499176, 'learning_rate': 4.613095238095239e-05, 'epoch': 0.23}
{'loss': 0.0051, 'grad_norm': 0.12467421591281891, 'learning_rate': 4.5833333333333334e-05, 'epoch': 0.25}
