Please enter the maximum memory located to JVM [8g]: 
Loading a BERT model from: /Users/billy/Documents/Codex/2026-08-23/can-x20/work/orion-takeover/development/p3-full-native-runtime-v12-2026-08-23/runtime/model.
{'loss': 0.9133, 'grad_norm': 17.238929748535156, 'learning_rate': 4.9679487179487185e-05, 'epoch': 0.02}
{'loss': 0.4267, 'grad_norm': 9.198760986328125, 'learning_rate': 4.935897435897436e-05, 'epoch': 0.04}
{'loss': 0.1893, 'grad_norm': 5.134153366088867, 'learning_rate': 4.9038461538461536e-05, 'epoch': 0.06}
{'loss': 0.1123, 'grad_norm': 3.0126397609710693, 'learning_rate': 4.871794871794872e-05, 'epoch': 0.08}
{'loss': 0.0467, 'grad_norm': 1.6810411214828491, 'learning_rate': 4.83974358974359e-05, 'epoch': 0.1}
{'loss': 1.7701, 'grad_norm': 34.8233642578125, 'learning_rate': 4.8076923076923084e-05, 'epoch': 0.12}
{'loss': 0.0392, 'grad_norm': 1.3561720848083496, 'learning_rate': 4.775641025641026e-05, 'epoch': 0.13}
{'loss': 2.0176, 'grad_norm': 34.17711639404297, 'learning_rate': 4.7435897435897435e-05, 'epoch': 0.15}
{'loss': 0.0198, 'grad_norm': 0.5864067077636719, 'learning_rate': 4.711538461538462e-05, 'epoch': 0.17}
{'loss': 0.0167, 'grad_norm': 0.4382788836956024, 'learning_rate': 4.67948717948718e-05, 'epoch': 0.19}
{'eval_loss': 0.39702901244163513, 'eval_accuracy': 0.9166666666666666, 'eval_runtime': 0.1741, 'eval_samples_per_second': 68.916, 'eval_steps_per_second': 68.916, 'epoch': 0.19}
{'loss': 2.371, 'grad_norm': 34.36589050292969, 'learning_rate': 4.6474358974358976e-05, 'epoch': 0.21}
{'loss': 0.0109, 'grad_norm': 0.4051751494407654, 'learning_rate': 4.615384615384616e-05, 'epoch': 0.23}
{'loss': 0.0066, 'grad_norm': 0.24033698439598083, 'learning_rate': 4.5833333333333334e-05, 'epoch': 0.25}
{'loss': 0.0079, 'grad_norm': 0.2513926327228546, 'learning_rate': 4.5512820512820516e-05, 'epoch': 0.27}
{'loss': 0.0047, 'grad_norm': 0.15039433538913727, 'learning_rate': 4.519230769230769e-05, 'epoch': 0.29}
{'loss': 2.6547, 'grad_norm': 33.62268829345703, 'learning_rate': 4.4871794871794874e-05, 'epoch': 0.31}
{'loss': 2.9244, 'grad_norm': 0.16011914610862732, 'learning_rate': 4.455128205128206e-05, 'epoch': 0.33}
{'loss': 0.0034, 'grad_norm': 0.10779283195734024, 'learning_rate': 4.423076923076923e-05, 'epoch': 0.35}
{'loss': 0.0037, 'grad_norm': 0.13815626502037048, 'learning_rate': 4.3910256410256415e-05, 'epoch': 0.37}
{'loss': 2.7932, 'grad_norm': 34.38694763183594, 'learning_rate': 4.358974358974359e-05, 'epoch': 0.38}
{'eval_loss': 0.47364112734794617, 'eval_accuracy': 0.9166666666666666, 'eval_runtime': 0.1469, 'eval_samples_per_second': 81.665, 'eval_steps_per_second': 81.665, 'epoch': 0.38}
{'loss': 2.7982, 'grad_norm': 34.37371063232422, 'learning_rate': 4.326923076923077e-05, 'epoch': 0.4}
{'loss': 0.0046, 'grad_norm': 0.188296839594841, 'learning_rate': 4.294871794871795e-05, 'epoch': 0.42}
{'loss': 2.2504, 'grad_norm': 0.20876292884349823, 'learning_rate': 4.262820512820513e-05, 'epoch': 0.44}
{'loss': 0.0103, 'grad_norm': 0.36489638686180115, 'learning_rate': 4.230769230769231e-05, 'epoch': 0.46}
{'loss': 2.2531, 'grad_norm': 0.28113892674446106, 'learning_rate': 4.198717948717949e-05, 'epoch': 0.48}
{'loss': 0.0133, 'grad_norm': 0.4679684042930603, 'learning_rate': 4.166666666666667e-05, 'epoch': 0.5}
{'loss': 0.0121, 'grad_norm': 0.378048300743103, 'learning_rate': 4.134615384615385e-05, 'epoch': 0.52}
{'loss': 0.007, 'grad_norm': 0.20694600045681, 'learning_rate': 4.1025641025641023e-05, 'epoch': 0.54}
{'loss': 2.5693, 'grad_norm': 33.963260650634766, 'learning_rate': 4.0705128205128206e-05, 'epoch': 0.56}
{'loss': 0.0064, 'grad_norm': 0.1786150187253952, 'learning_rate': 4.038461538461539e-05, 'epoch': 0.58}
{'eval_loss': 0.45219266414642334, 'eval_accuracy': 0.9166666666666666, 'eval_runtime': 0.1478, 'eval_samples_per_second': 81.202, 'eval_steps_per_second': 81.202, 'epoch': 0.58}
{'loss': 0.0062, 'grad_norm': 0.2090233415365219, 'learning_rate': 4.006410256410257e-05, 'epoch': 0.6}
{'loss': 0.0047, 'grad_norm': 0.16333173215389252, 'learning_rate': 3.974358974358974e-05, 'epoch': 0.62}
{'loss': 2.5714, 'grad_norm': 0.0876738503575325, 'learning_rate': 3.942307692307692e-05, 'epoch': 0.63}
{'loss': 0.0051, 'grad_norm': 0.1712809056043625, 'learning_rate': 3.9102564102564105e-05, 'epoch': 0.65}
{'loss': 0.0043, 'grad_norm': 0.15792672336101532, 'learning_rate': 3.878205128205129e-05, 'epoch': 0.67}
{'loss': 0.0037, 'grad_norm': 0.11107570677995682, 'learning_rate': 3.846153846153846e-05, 'epoch': 0.69}
