JobIDRaw|JobName|State|Elapsed|TotalCPU|MaxRSS|AllocCPUS|NodeList|ExitCode
3550252|o6-revival-new|COMPLETED|00:00:43|00:42.055||1|cx04|0:0
3550252.batch|batch|COMPLETED|00:00:43|00:42.053|440K|1|cx04|0:0
3550252.extern|extern|COMPLETED|00:00:43|00:00.001|216K|1|cx04|0:0
3550253|o6-r6k-replay|COMPLETED|00:03:29|03:27.561||1|cx04|0:0
3550253.batch|batch|COMPLETED|00:03:29|03:27.559|368K|1|cx04|0:0
3550253.extern|extern|COMPLETED|00:03:29|00:00.001|0|1|cx04|0:0
3550254|o6-r6l-replay|COMPLETED|00:02:50|02:48.341||1|cx04|0:0
3550254.batch|batch|COMPLETED|00:02:50|02:48.339|740K|1|cx04|0:0
3550254.extern|extern|COMPLETED|00:02:50|00:00.001|0|1|cx04|0:0
3550255|o6-revival-adj|COMPLETED|00:00:00|00:00.127||1|cx04|0:0
3550255.batch|batch|COMPLETED|00:00:00|00:00.125|568K|1|cx04|0:0
3550255.extern|extern|COMPLETED|00:00:00|00:00.001|212K|1|cx04|0:0
