JOBID|NAME|STATE|TIME|TIME_LIMIT|NODES|NODELIST(REASON)|PARTITION
3550255|o6-revival-adj|PENDING|0:00|5:00|1|(Dependency)|hep
3550254|o6-r6l-replay|PENDING|0:00|30:00|1|(None)|hep
3550253|o6-r6k-replay|PENDING|0:00|30:00|1|(None)|hep
3550252|o6-revival-new|PENDING|0:00|1:00:00|1|(None)|hep
3550016_7|o01-r3-cap8|RUNNING|2:40:49|4-00:00:00|1|cx04|hep
3550016_6|o01-r3-cap8|RUNNING|2:45:07|4-00:00:00|1|cx08|hep
3550016_5|o01-r3-cap8|RUNNING|2:51:40|4-00:00:00|1|cx04|hep
3550016_4|o01-r3-cap8|RUNNING|2:53:01|4-00:00:00|1|cx04|hep
