m     b(m)  Kmin(exact)                      gamma*=Kmin/N   gamma*/2^b  profile(anchor,eps)
  66    7  157892610142208891295                  8.559376   0.06687  ((32, 26), 8, 0)
  67    7  319474559588384112645                  8.659375   0.06765  ((32, 27), 8, 0)
  68    7  646327806910647395948                  8.759375   0.06843  ((32, 28), 8, 0)
  69    7  1307412998799828713478                 8.859375   0.06921  ((32, 29), 8, 0)
  70    7  2644340777452329920108                 8.959375   0.07000  ((32, 30), 8, 0)
  71    7  5347711124890438546233                 9.059375   0.07078  ((32, 31), 8, 0)
  72    7  10813481400417697293933                9.159375   0.07156  ((32, 32), 8, 0)
  73    7  21488124638992505451323                9.100575   0.07110  ((32, 25), 16, 0)
  74    7  43448483590029668725564                9.200574   0.07188  ((32, 26), 16, 0)
  75    7  87841438041874717946684                9.300574   0.07266  ((32, 27), 16, 0)
  76    7  177571820143622503582934               9.400574   0.07344  ((32, 28), 16, 0)
  77    7  358921530841749691092182               9.500574   0.07422  ((32, 29), 16, 0)
  78    7  725398845325783540432905               9.600574   0.07500  ((32, 30), 16, 0)
  79    7  1465909260567926429607536              9.700574   0.07579  ((32, 31), 16, 0)
  80    7  2962041663698878830791894              9.800574   0.07657  ((32, 32), 16, 0)
  81    7  5034166977125631641255946              8.328331   0.06507  ((32, 25, 16), 8, 0)
  82    7  10154685371310857855846703             8.399759   0.06562  ((32, 26, 16), 8, 0)
  83    7  20482073985925099573739530             8.471187   0.06618  ((32, 27, 16), 8, 0)
  84    7  41309554885655560096429798             8.542616   0.06674  ((32, 28, 16), 8, 0)
  85    7  83309924044134833825101542             8.614044   0.06730  ((32, 29, 16), 8, 0)
  86    7  168282754880785948414784318            8.700015   0.06797  ((32, 32), 22, 0)
  87    7  340433804906549641400129957            8.800008   0.06875  ((32, 32), 23, 0)
  88    7  688604454668122989133194866            8.900004   0.06953  ((32, 32), 24, 0)
  89    7  1392682866524082459720758079           9.000002   0.07031  ((32, 32), 25, 0)
  90    7  2816313927814347802735437426           9.100001   0.07109  ((32, 32), 26, 0)
  91    7  5694524538464292144040588095           9.200001   0.07188  ((32, 32), 27, 0)
  92    7  11512842748815728988799159513          9.300000   0.07266  ((32, 32), 28, 0)
  93    7  23273273160534419854209528639          9.400000   0.07344  ((32, 32), 29, 0)
  94    7  47041721978916156788413405606          9.500000   0.07422  ((32, 32), 30, 0)
  95    7  95073795618481061915184123097          9.600000   0.07500  ((32, 32), 31, 0)
  96    7  192128294916126455537048171328         9.700000   0.07578  ((32, 32), 32, 0)
  97    7  329911050232057781614284598723         8.328126   0.06506  ((32, 32, 25), 8, 0)
  98    7  665481226932533153186639998403         8.399554   0.06562  ((32, 32, 26), 8, 0)
  99    7  1342280733618196871156335490792        8.470982   0.06618  ((32, 32, 27), 8, 0)
 100    7  2707198054739541877463107165051        8.542411   0.06674  ((32, 32, 28), 8, 0)
 101    7  5459669313662858651528823195954        8.613839   0.06730  ((32, 32, 29), 8, 0)
 102    7  11009885066051337343282011925956       8.685268   0.06785  ((32, 32, 30), 8, 0)
 103    7  22200863041092576634749314025778       8.756696   0.06841  ((32, 32, 31), 8, 0)
 104    7  44763911932884210654323178808480       8.828125   0.06897  ((32, 32, 32), 8, 0)
 105    7  89101891462517018500373021420998       8.786125   0.06864  ((32, 32, 25), 16, 0)
 106    7  179652519300948940030012167890081       8.857553   0.06920  ((32, 32, 26), 16, 0)
 107    7  362202518218699304644486542243562       8.928981   0.06976  ((32, 32, 27), 16, 0)
 108    7  730200002838204531887484747457697       9.000410   0.07032  ((32, 32, 28), 16, 0)
 109    7  1471989945947455437305237364576856       9.071838   0.07087  ((32, 32, 29), 16, 0)
 110    7  2967159780208669604907912305873497       9.143267   0.07143  ((32, 32, 30), 16, 0)
 111    7  5980679345118754108551258896259965       9.214696   0.07199  ((32, 32, 31), 16, 0)
 112    7  12054078268016466907617602786295824       9.286124   0.07255  ((32, 32, 32), 16, 0)
 113    7  21432161411997084764803017269692203       8.255368   0.06450  ((32, 32, 25, 16), 8, 0)
 114    7  43152782333509670221655467437850639       8.310924   0.06493  ((32, 32, 26, 16), 8, 0)
 115    7  86882485052942468538350520873750088       8.366479   0.06536  ((32, 32, 27, 16), 8, 0)
 116    7  174918812304800960776315808418977124       8.422034   0.06580  ((32, 32, 28, 16), 8, 0)
 117    7  352145310494681377259991619330550458       8.477590   0.06623  ((32, 32, 29, 16), 8, 0)
 118    7  708905994306946715041428587270198629       8.533146   0.06667  ((32, 32, 30, 16), 8, 0)
 119    7  1427042736856664041031068089856760961       8.588701   0.06710  ((32, 32, 31, 16), 8, 0)
 120    7  2872546971866649634662473102918680592       8.644257   0.06753  ((32, 32, 32, 16), 8, 0)
 121    7  5791637261104928553991317866493472200       8.714287   0.06808  ((32, 32, 32), 25, 0)
 122    7  11678218439631995572627190485271557869       8.785715   0.06864  ((32, 32, 32), 26, 0)
 123    7  23546325613913828057974181716075778650       8.857143   0.06920  ((32, 32, 32), 27, 0)
 124    7  47472429636546971181950824960952294271       8.928572   0.06975  ((32, 32, 32), 28, 0)
