m     b(m)  Kmin(exact)                      gamma*=Kmin/N   gamma*/2^b  profile(anchor,eps)
 125    7  95704417069566294993601601814013448795       9.000000   0.07031  ((32, 32, 32), 29, 0)
 126    7  192927950750725099001430305043523979574       9.071429   0.07087  ((32, 32, 32), 30, 0)
 127    7  388894135782897101043274179346093459766       9.142857   0.07143  ((32, 32, 32), 31, 0)
 128    7  783864741226563974436467032435101232585       9.214286   0.07199  ((32, 32, 32), 32, 0)
 129    8  2790413023932659430153354587299582574602      16.400574   0.06406  ((64, 49), 16, 0)
 130    8  5614854284557389616169891995925105082378      16.500574   0.06446  ((64, 50), 16, 0)
 131    8  11297765042498943350978976428067657036605      16.600574   0.06485  ((64, 51), 16, 0)
 132    8  22731643031766238029719492367987444704881      16.700574   0.06524  ((64, 52), 16, 0)
 133    8  45735511957069202289015546244948057443543      16.800574   0.06563  ((64, 53), 16, 0)
 134    8  92015475701211881094808025838963027607563      16.900574   0.06602  ((64, 54), 16, 0)
 135    8  185119854976570739764364056553032127191461      17.000574   0.06641  ((64, 55), 16, 0)
 136    8  372417517101435459702988588879100314753445      17.100574   0.06680  ((64, 56), 16, 0)
 137    8  749190648499458905262832923172948336548261      17.200574   0.06719  ((64, 57), 16, 0)
 138    8  1507092525592093808231282458889919343362060      17.300574   0.06758  ((64, 58), 16, 0)
 139    8  3031607508370539638349273592428262953320460      17.400574   0.06797  ((64, 59), 16, 0)
 140    8  6098059931113783347431010311559605035781337      17.500574   0.06836  ((64, 60), 16, 0)
